Description,Amount,Type,Account
Google Workspace #5924,-249.63,Debit,Dues and Subscriptions
Netflix Monthly Fee Online,-259.95,Debit,Dues and Subscriptions
Intuit QuickBooks In-store,-486.39,Debit,Dues and Subscriptions
Dropbox Plan Online,-310.6,Debit,Dues and Subscriptions
Google Workspace,-7.83,Debit,Dues and Subscriptions
Google Workspace - TX,-421.98,Debit,Dues and Subscriptions
YouTube Premium - NY,-108.27,Debit,Dues and Subscriptions
Intuit QuickBooks,-84.54,Debit,Dues and Subscriptions
YouTube Premium - TX,-168.98,Debit,Dues and Subscriptions
Amazon Prime - TX,-479.92,Debit,Dues and Subscriptions
Amazon Prime #6396,-217.57,Debit,Dues and Subscriptions
Netflix Monthly Fee In-store,-178.51,Debit,Dues and Subscriptions
Google Workspace - NY,-458.51,Debit,Dues and Subscriptions
Intuit QuickBooks Online,-122.17,Debit,Dues and Subscriptions
Google Workspace #2664,-73.42,Debit,Dues and Subscriptions
Intuit QuickBooks - TX,-32.89,Debit,Dues and Subscriptions
Dropbox Plan,-441.84,Debit,Dues and Subscriptions
YouTube Premium,-8.07,Debit,Dues and Subscriptions
Netflix Monthly Fee In-store,-265.99,Debit,Dues and Subscriptions
Amazon Prime (6/27/2025),-187.9,Debit,Dues and Subscriptions
Google Workspace Online,-39.51,Debit,Dues and Subscriptions
Google Workspace - NY,-375.78,Debit,Dues and Subscriptions
Netflix Monthly Fee Online,-169.12,Debit,Dues and Subscriptions
Adobe Creative Cloud Online,-254.64,Debit,Dues and Subscriptions
Netflix Monthly Fee #8683,-248.89,Debit,Dues and Subscriptions
YouTube Premium,-348.85,Debit,Dues and Subscriptions
Dropbox Plan (10/13/2025),-440.13,Debit,Dues and Subscriptions
Google Workspace,-434.91,Debit,Dues and Subscriptions
Adobe Creative Cloud (6/11/2025),-141.36,Debit,Dues and Subscriptions
Netflix Monthly Fee (9/12/2025),-478.33,Debit,Dues and Subscriptions
YouTube Premium - CA,-221.06,Debit,Dues and Subscriptions
Adobe Creative Cloud - TX,-23.46,Debit,Dues and Subscriptions
Intuit QuickBooks (9/2/2025),-247.88,Debit,Dues and Subscriptions
Adobe Creative Cloud #4997,-282.54,Debit,Dues and Subscriptions
Spotify Subscription In-store,-334.97,Debit,Dues and Subscriptions
Google Workspace,-221.43,Debit,Dues and Subscriptions
Dropbox Plan #1312,-121.26,Debit,Dues and Subscriptions
YouTube Premium In-store,-189.85,Debit,Dues and Subscriptions
Intuit QuickBooks,-33.14,Debit,Dues and Subscriptions
Adobe Creative Cloud (6/4/2025),-22.21,Debit,Dues and Subscriptions
YouTube Premium Online,-91.73,Debit,Dues and Subscriptions
Intuit QuickBooks - TX,-353.83,Debit,Dues and Subscriptions
Intuit QuickBooks - CA,-472.2,Debit,Dues and Subscriptions
Netflix Monthly Fee - TX,-283.8,Debit,Dues and Subscriptions
Adobe Creative Cloud #4570,-286.07,Debit,Dues and Subscriptions
YouTube Premium (5/23/2025),-209.58,Debit,Dues and Subscriptions
YouTube Premium (12/12/2025),-475.12,Debit,Dues and Subscriptions
Dropbox Plan Online,-82.52,Debit,Dues and Subscriptions
Netflix Monthly Fee In-store,-450.28,Debit,Dues and Subscriptions
Dropbox Plan (6/10/2025),-259.88,Debit,Dues and Subscriptions
Spotify Subscription (7/6/2025),-288.12,Debit,Dues and Subscriptions
Google Workspace,-35.98,Debit,Dues and Subscriptions
Intuit QuickBooks (1/7/2025),-468.98,Debit,Dues and Subscriptions
Intuit QuickBooks,-301.48,Debit,Dues and Subscriptions
Spotify Subscription,-134.3,Debit,Dues and Subscriptions
Adobe Creative Cloud #2147,-44.03,Debit,Dues and Subscriptions
Dropbox Plan In-store,-93.95,Debit,Dues and Subscriptions
Google Workspace #2044,-276.13,Debit,Dues and Subscriptions
Spotify Subscription #4478,-142.1,Debit,Dues and Subscriptions
Dropbox Plan,-141.32,Debit,Dues and Subscriptions
Dropbox Plan Online,-493.12,Debit,Dues and Subscriptions
Dropbox Plan,-70.34,Debit,Dues and Subscriptions
YouTube Premium In-store,-176.7,Debit,Dues and Subscriptions
Intuit QuickBooks #7137,-187.83,Debit,Dues and Subscriptions
YouTube Premium - CA,-186.13,Debit,Dues and Subscriptions
Google Workspace,-395.62,Debit,Dues and Subscriptions
Amazon Prime (8/19/2025),-34.32,Debit,Dues and Subscriptions
Netflix Monthly Fee,-241.25,Debit,Dues and Subscriptions
Google Workspace In-store,-255.53,Debit,Dues and Subscriptions
Google Workspace Online,-107.41,Debit,Dues and Subscriptions
Adobe Creative Cloud Online,-177.87,Debit,Dues and Subscriptions
Amazon Prime - CA,-315.08,Debit,Dues and Subscriptions
Spotify Subscription - TX,-276.8,Debit,Dues and Subscriptions
Netflix Monthly Fee (1/26/2025),-222.73,Debit,Dues and Subscriptions
Amazon Prime #3974,-429.45,Debit,Dues and Subscriptions
Spotify Subscription #7081,-394.06,Debit,Dues and Subscriptions
Intuit QuickBooks,-436.68,Debit,Dues and Subscriptions
Dropbox Plan #6715,-152.11,Debit,Dues and Subscriptions
YouTube Premium #7016,-406.62,Debit,Dues and Subscriptions
YouTube Premium #5613,-9.83,Debit,Dues and Subscriptions
Netflix Monthly Fee #4284,-233.57,Debit,Dues and Subscriptions
Spotify Subscription,-38.86,Debit,Dues and Subscriptions
Google Workspace (6/17/2025),-367.16,Debit,Dues and Subscriptions
Spotify Subscription #5072,-398.07,Debit,Dues and Subscriptions
Adobe Creative Cloud (11/13/2025),-342.15,Debit,Dues and Subscriptions
Intuit QuickBooks In-store,-6.66,Debit,Dues and Subscriptions
Dropbox Plan Online,-249.02,Debit,Dues and Subscriptions
Netflix Monthly Fee (6/23/2025),-220.7,Debit,Dues and Subscriptions
YouTube Premium #5593,-148.68,Debit,Dues and Subscriptions
Spotify Subscription (4/20/2025),-344.34,Debit,Dues and Subscriptions
YouTube Premium,-155.88,Debit,Dues and Subscriptions
Adobe Creative Cloud,-93.96,Debit,Dues and Subscriptions
Spotify Subscription Online,-364.68,Debit,Dues and Subscriptions
Netflix Monthly Fee - NY,-344.08,Debit,Dues and Subscriptions
Dropbox Plan (3/9/2025),-16.41,Debit,Dues and Subscriptions
Google Workspace In-store,-305.98,Debit,Dues and Subscriptions
Intuit QuickBooks,-189.41,Debit,Dues and Subscriptions
Google Workspace - TX,-204.74,Debit,Dues and Subscriptions
Intuit QuickBooks,-331.94,Debit,Dues and Subscriptions
Google Workspace,-464.31,Debit,Dues and Subscriptions
Intuit QuickBooks (10/1/2025),-332.28,Debit,Dues and Subscriptions
Adobe Creative Cloud - CA,-456.83,Debit,Dues and Subscriptions
Spotify Subscription (9/16/2025),-246.38,Debit,Dues and Subscriptions
Google Workspace In-store,-470.29,Debit,Dues and Subscriptions
YouTube Premium In-store,-348.47,Debit,Dues and Subscriptions
YouTube Premium,-155.34,Debit,Dues and Subscriptions
Adobe Creative Cloud #3802,-374.66,Debit,Dues and Subscriptions
Spotify Subscription - TX,-78.24,Debit,Dues and Subscriptions
Google Workspace #3089,-484.65,Debit,Dues and Subscriptions
Netflix Monthly Fee In-store,-354.98,Debit,Dues and Subscriptions
Spotify Subscription #3197,-132.77,Debit,Dues and Subscriptions
Intuit QuickBooks Online,-86.73,Debit,Dues and Subscriptions
Google Workspace #3305,-268.81,Debit,Dues and Subscriptions
Netflix Monthly Fee Online,-277.47,Debit,Dues and Subscriptions
Adobe Creative Cloud In-store,-225.41,Debit,Dues and Subscriptions
Spotify Subscription (12/16/2025),-432.49,Debit,Dues and Subscriptions
Spotify Subscription (3/5/2025),-392.85,Debit,Dues and Subscriptions
Netflix Monthly Fee,-468.08,Debit,Dues and Subscriptions
Dropbox Plan (3/8/2025),-137.96,Debit,Dues and Subscriptions
Netflix Monthly Fee In-store,-429.25,Debit,Dues and Subscriptions
Intuit QuickBooks Online,-494.19,Debit,Dues and Subscriptions
YouTube Premium (5/28/2025),-427.67,Debit,Dues and Subscriptions
Netflix Monthly Fee (3/4/2025),-476.01,Debit,Dues and Subscriptions
Dropbox Plan - TX,-173.3,Debit,Dues and Subscriptions
Adobe Creative Cloud (4/7/2025),-79.81,Debit,Dues and Subscriptions
Spotify Subscription,-375.48,Debit,Dues and Subscriptions
Adobe Creative Cloud #4070,-425.44,Debit,Dues and Subscriptions
Dropbox Plan,-253.27,Debit,Dues and Subscriptions
Amazon Prime In-store,-38.97,Debit,Dues and Subscriptions
Intuit QuickBooks - NY,-483.91,Debit,Dues and Subscriptions
YouTube Premium - CA,-119.66,Debit,Dues and Subscriptions
Netflix Monthly Fee (12/12/2025),-155.08,Debit,Dues and Subscriptions
Spotify Subscription - CA,-158.57,Debit,Dues and Subscriptions
Netflix Monthly Fee (8/18/2025),-69.59,Debit,Dues and Subscriptions
YouTube Premium #8648,-239.14,Debit,Dues and Subscriptions
Dropbox Plan (11/26/2025),-271.55,Debit,Dues and Subscriptions
Spotify Subscription In-store,-297.99,Debit,Dues and Subscriptions
Google Workspace - NY,-171.37,Debit,Dues and Subscriptions
Intuit QuickBooks (11/4/2025),-193.06,Debit,Dues and Subscriptions
Intuit QuickBooks - NY,-367.44,Debit,Dues and Subscriptions
Dropbox Plan #1469,-211.89,Debit,Dues and Subscriptions
Netflix Monthly Fee - CA,-211.03,Debit,Dues and Subscriptions
Intuit QuickBooks In-store,-151.1,Debit,Dues and Subscriptions
Dropbox Plan - CA,-265.61,Debit,Dues and Subscriptions
Dropbox Plan (6/8/2025),-88.66,Debit,Dues and Subscriptions
Spotify Subscription In-store,-431.59,Debit,Dues and Subscriptions
YouTube Premium - NY,-260.78,Debit,Dues and Subscriptions
Amazon Prime - TX,-54.87,Debit,Dues and Subscriptions
Spotify Subscription (4/24/2025),-46.86,Debit,Dues and Subscriptions
YouTube Premium - NY,-64.74,Debit,Dues and Subscriptions
Spotify Subscription Online,-60.0,Debit,Dues and Subscriptions
Dropbox Plan - NY,-195.13,Debit,Dues and Subscriptions
Netflix Monthly Fee,-34.86,Debit,Dues and Subscriptions
Google Workspace - CA,-167.12,Debit,Dues and Subscriptions
Adobe Creative Cloud #8125,-40.42,Debit,Dues and Subscriptions
Amazon Prime #3380,-24.61,Debit,Dues and Subscriptions
Netflix Monthly Fee - TX,-93.5,Debit,Dues and Subscriptions
YouTube Premium (2/25/2025),-95.77,Debit,Dues and Subscriptions
Adobe Creative Cloud (11/16/2025),-61.99,Debit,Dues and Subscriptions
Amazon Prime #1283,-75.21,Debit,Dues and Subscriptions
YouTube Premium (5/1/2025),-90.07,Debit,Dues and Subscriptions
YouTube Premium,-199.26,Debit,Dues and Subscriptions
Netflix Monthly Fee In-store,-496.98,Debit,Dues and Subscriptions
Google Workspace,-193.1,Debit,Dues and Subscriptions
YouTube Premium #9709,-137.69,Debit,Dues and Subscriptions
Netflix Monthly Fee (6/12/2025),-451.42,Debit,Dues and Subscriptions
Spotify Subscription (4/20/2025),-125.91,Debit,Dues and Subscriptions
YouTube Premium #5487,-307.04,Debit,Dues and Subscriptions
Netflix Monthly Fee,-256.65,Debit,Dues and Subscriptions
Google Workspace,-274.86,Debit,Dues and Subscriptions
Intuit QuickBooks (8/11/2025),-141.42,Debit,Dues and Subscriptions
Netflix Monthly Fee #7196,-55.55,Debit,Dues and Subscriptions
Google Workspace #7940,-92.95,Debit,Dues and Subscriptions
Amazon Prime #3131,-232.96,Debit,Dues and Subscriptions
Spotify Subscription,-367.85,Debit,Dues and Subscriptions
Spotify Subscription #9604,-346.57,Debit,Dues and Subscriptions
Amazon Prime Online,-313.67,Debit,Dues and Subscriptions
Amazon Prime Online,-77.15,Debit,Dues and Subscriptions
Netflix Monthly Fee - NY,-295.05,Debit,Dues and Subscriptions
Netflix Monthly Fee,-424.13,Debit,Dues and Subscriptions
Adobe Creative Cloud (11/13/2025),-242.66,Debit,Dues and Subscriptions
Adobe Creative Cloud (11/26/2025),-181.98,Debit,Dues and Subscriptions
Dropbox Plan (6/17/2025),-372.62,Debit,Dues and Subscriptions
Amazon Prime Online,-175.53,Debit,Dues and Subscriptions
Spotify Subscription (2/14/2025),-330.44,Debit,Dues and Subscriptions
Intuit QuickBooks #9936,-183.96,Debit,Dues and Subscriptions
Google Workspace #8819,-415.29,Debit,Dues and Subscriptions
Google Workspace,-58.07,Debit,Dues and Subscriptions
Dropbox Plan (12/9/2025),-107.59,Debit,Dues and Subscriptions
Intuit QuickBooks,-383.18,Debit,Dues and Subscriptions
Intuit QuickBooks In-store,-13.11,Debit,Dues and Subscriptions
Google Workspace Online,-487.74,Debit,Dues and Subscriptions
Google Workspace In-store,-274.57,Debit,Dues and Subscriptions
Spotify Subscription,-183.61,Debit,Dues and Subscriptions
YouTube Premium (9/14/2025),-52.8,Debit,Dues and Subscriptions
Netflix Monthly Fee (9/18/2025),-496.75,Debit,Dues and Subscriptions
Intuit QuickBooks Online,-17.97,Debit,Dues and Subscriptions
Adobe Creative Cloud #5929,-202.72,Debit,Dues and Subscriptions
Spotify Subscription #1833,-248.93,Debit,Dues and Subscriptions
Dropbox Plan #5711,-391.57,Debit,Dues and Subscriptions
Amazon Prime,-212.96,Debit,Dues and Subscriptions
Spotify Subscription,-272.77,Debit,Dues and Subscriptions
Adobe Creative Cloud,-132.7,Debit,Dues and Subscriptions
Netflix Monthly Fee - NY,-476.14,Debit,Dues and Subscriptions
Spotify Subscription - TX,-82.35,Debit,Dues and Subscriptions
YouTube Premium - NY,-224.01,Debit,Dues and Subscriptions
Amazon Prime (1/13/2025),-316.76,Debit,Dues and Subscriptions
Google Workspace Online,-165.12,Debit,Dues and Subscriptions
Dropbox Plan #3840,-194.09,Debit,Dues and Subscriptions
YouTube Premium #2219,-238.74,Debit,Dues and Subscriptions
YouTube Premium - CA,-493.71,Debit,Dues and Subscriptions
YouTube Premium (4/11/2025),-416.11,Debit,Dues and Subscriptions
Dropbox Plan (10/1/2025),-241.65,Debit,Dues and Subscriptions
Dropbox Plan,-166.05,Debit,Dues and Subscriptions
Google Workspace #5510,-491.47,Debit,Dues and Subscriptions
Intuit QuickBooks #8938,-218.42,Debit,Dues and Subscriptions
Dropbox Plan #4459,-443.18,Debit,Dues and Subscriptions
Adobe Creative Cloud In-store,-407.23,Debit,Dues and Subscriptions
Google Workspace,-424.29,Debit,Dues and Subscriptions
Adobe Creative Cloud,-39.36,Debit,Dues and Subscriptions
Intuit QuickBooks,-102.17,Debit,Dues and Subscriptions
YouTube Premium #9394,-440.78,Debit,Dues and Subscriptions
Netflix Monthly Fee #7125,-339.05,Debit,Dues and Subscriptions
Adobe Creative Cloud (2/13/2025),-448.07,Debit,Dues and Subscriptions
Google Workspace Online,-181.04,Debit,Dues and Subscriptions
YouTube Premium In-store,-345.88,Debit,Dues and Subscriptions
Netflix Monthly Fee #1493,-127.21,Debit,Dues and Subscriptions
Amazon Prime (2/10/2025),-184.38,Debit,Dues and Subscriptions
Intuit QuickBooks,-79.01,Debit,Dues and Subscriptions
Netflix Monthly Fee - CA,-488.84,Debit,Dues and Subscriptions
YouTube Premium #5945,-276.15,Debit,Dues and Subscriptions
Google Workspace #3773,-385.94,Debit,Dues and Subscriptions
YouTube Premium #3549,-222.84,Debit,Dues and Subscriptions
Spotify Subscription #8814,-398.43,Debit,Dues and Subscriptions
Adobe Creative Cloud In-store,-488.16,Debit,Dues and Subscriptions
Spotify Subscription In-store,-260.13,Debit,Dues and Subscriptions
Dropbox Plan,-228.86,Debit,Dues and Subscriptions
Adobe Creative Cloud (11/20/2025),-374.6,Debit,Dues and Subscriptions
Amazon Prime,-9.24,Debit,Dues and Subscriptions
Adobe Creative Cloud In-store,-316.21,Debit,Dues and Subscriptions
Amazon Prime In-store,-45.83,Debit,Dues and Subscriptions
Netflix Monthly Fee Online,-238.89,Debit,Dues and Subscriptions
Spotify Subscription #3880,-101.84,Debit,Dues and Subscriptions
YouTube Premium (6/2/2025),-370.95,Debit,Dues and Subscriptions
Amazon Prime,-204.16,Debit,Dues and Subscriptions
Google Workspace - TX,-347.45,Debit,Dues and Subscriptions
YouTube Premium,-134.35,Debit,Dues and Subscriptions
Dropbox Plan In-store,-198.1,Debit,Dues and Subscriptions
Adobe Creative Cloud #5696,-317.78,Debit,Dues and Subscriptions
Spotify Subscription - NY,-483.95,Debit,Dues and Subscriptions
Adobe Creative Cloud Online,-454.76,Debit,Dues and Subscriptions
Google Workspace Online,-82.21,Debit,Dues and Subscriptions
Amazon Prime - NY,-436.42,Debit,Dues and Subscriptions
Intuit QuickBooks In-store,-198.94,Debit,Dues and Subscriptions
Adobe Creative Cloud (9/20/2025),-86.58,Debit,Dues and Subscriptions
YouTube Premium #4145,-257.8,Debit,Dues and Subscriptions
Dropbox Plan Online,-205.04,Debit,Dues and Subscriptions
Amazon Prime - TX,-469.47,Debit,Dues and Subscriptions
Netflix Monthly Fee,-226.77,Debit,Dues and Subscriptions
Amazon Prime Online,-66.65,Debit,Dues and Subscriptions
Spotify Subscription (1/20/2025),-356.59,Debit,Dues and Subscriptions
Netflix Monthly Fee - CA,-275.72,Debit,Dues and Subscriptions
Netflix Monthly Fee #4142,-261.11,Debit,Dues and Subscriptions
Intuit QuickBooks - NY,-311.41,Debit,Dues and Subscriptions
Intuit QuickBooks,-182.35,Debit,Dues and Subscriptions
Netflix Monthly Fee,-84.92,Debit,Dues and Subscriptions
Netflix Monthly Fee,-388.74,Debit,Dues and Subscriptions
YouTube Premium (12/5/2025),-398.82,Debit,Dues and Subscriptions
Spotify Subscription In-store,-418.05,Debit,Dues and Subscriptions
Spotify Subscription - TX,-15.28,Debit,Dues and Subscriptions
Amazon Prime (6/13/2025),-127.11,Debit,Dues and Subscriptions
Spotify Subscription - NY,-107.99,Debit,Dues and Subscriptions
Dropbox Plan - TX,-71.01,Debit,Dues and Subscriptions
Amazon Prime - TX,-119.41,Debit,Dues and Subscriptions
Adobe Creative Cloud - NY,-372.59,Debit,Dues and Subscriptions
Netflix Monthly Fee - NY,-223.75,Debit,Dues and Subscriptions
Adobe Creative Cloud (8/16/2025),-14.24,Debit,Dues and Subscriptions
Dropbox Plan,-293.74,Debit,Dues and Subscriptions
YouTube Premium Online,-330.74,Debit,Dues and Subscriptions
YouTube Premium,-46.86,Debit,Dues and Subscriptions
Spotify Subscription (7/4/2025),-313.94,Debit,Dues and Subscriptions
Dropbox Plan (12/8/2025),-223.64,Debit,Dues and Subscriptions
YouTube Premium #6024,-482.46,Debit,Dues and Subscriptions
Intuit QuickBooks (9/10/2025),-149.17,Debit,Dues and Subscriptions
Amazon Prime,-207.31,Debit,Dues and Subscriptions
Adobe Creative Cloud - CA,-166.08,Debit,Dues and Subscriptions
Amazon Prime,-109.26,Debit,Dues and Subscriptions
Spotify Subscription Online,-57.97,Debit,Dues and Subscriptions
Spotify Subscription Online,-335.66,Debit,Dues and Subscriptions
Dropbox Plan Online,-62.55,Debit,Dues and Subscriptions
Dropbox Plan,-27.44,Debit,Dues and Subscriptions
Spotify Subscription - NY,-423.5,Debit,Dues and Subscriptions
Spotify Subscription (7/14/2025),-189.56,Debit,Dues and Subscriptions
YouTube Premium - TX,-419.72,Debit,Dues and Subscriptions
Spotify Subscription,-368.77,Debit,Dues and Subscriptions
Netflix Monthly Fee Online,-181.12,Debit,Dues and Subscriptions
Google Workspace Online,-438.55,Debit,Dues and Subscriptions
YouTube Premium #2745,-83.61,Debit,Dues and Subscriptions
Intuit QuickBooks - CA,-34.68,Debit,Dues and Subscriptions
Adobe Creative Cloud - NY,-300.86,Debit,Dues and Subscriptions
Amazon Prime,-78.25,Debit,Dues and Subscriptions
Netflix Monthly Fee #3432,-90.99,Debit,Dues and Subscriptions
Adobe Creative Cloud - TX,-209.9,Debit,Dues and Subscriptions
Amazon Prime - TX,-117.84,Debit,Dues and Subscriptions
Adobe Creative Cloud #7247,-232.69,Debit,Dues and Subscriptions
Spotify Subscription (1/22/2025),-348.46,Debit,Dues and Subscriptions
Netflix Monthly Fee Online,-94.57,Debit,Dues and Subscriptions
Spotify Subscription Online,-273.11,Debit,Dues and Subscriptions
Adobe Creative Cloud #4097,-179.62,Debit,Dues and Subscriptions
Intuit QuickBooks - CA,-166.12,Debit,Dues and Subscriptions
YouTube Premium - TX,-483.89,Debit,Dues and Subscriptions
Dropbox Plan - NY,-344.61,Debit,Dues and Subscriptions
Dropbox Plan,-286.99,Debit,Dues and Subscriptions
Dropbox Plan #9900,-294.48,Debit,Dues and Subscriptions
Spotify Subscription Online,-195.18,Debit,Dues and Subscriptions
YouTube Premium In-store,-459.0,Debit,Dues and Subscriptions
Google Workspace - NY,-122.26,Debit,Dues and Subscriptions
YouTube Premium,-117.77,Debit,Dues and Subscriptions
Dropbox Plan Online,-177.79,Debit,Dues and Subscriptions
Dropbox Plan,-102.26,Debit,Dues and Subscriptions
YouTube Premium,-342.66,Debit,Dues and Subscriptions
Google Workspace Online,-68.93,Debit,Dues and Subscriptions
Spotify Subscription,-393.15,Debit,Dues and Subscriptions
Adobe Creative Cloud #1474,-444.29,Debit,Dues and Subscriptions
Google Workspace Online,-71.98,Debit,Dues and Subscriptions
YouTube Premium - NY,-146.75,Debit,Dues and Subscriptions
Adobe Creative Cloud (1/14/2025),-411.6,Debit,Dues and Subscriptions
Spotify Subscription,-490.42,Debit,Dues and Subscriptions
Dropbox Plan In-store,-396.81,Debit,Dues and Subscriptions
Adobe Creative Cloud #3328,-238.07,Debit,Dues and Subscriptions
Amazon Prime Online,-30.22,Debit,Dues and Subscriptions
YouTube Premium #1607,-430.39,Debit,Dues and Subscriptions
Google Workspace - NY,-180.06,Debit,Dues and Subscriptions
Google Workspace (6/1/2025),-121.61,Debit,Dues and Subscriptions
Amazon Prime - CA,-16.6,Debit,Dues and Subscriptions
Amazon Prime Online,-372.88,Debit,Dues and Subscriptions
Adobe Creative Cloud (1/8/2025),-86.41,Debit,Dues and Subscriptions
Dropbox Plan Online,-364.36,Debit,Dues and Subscriptions
YouTube Premium In-store,-153.67,Debit,Dues and Subscriptions
Dropbox Plan #9961,-174.6,Debit,Dues and Subscriptions
Google Workspace - NY,-15.38,Debit,Dues and Subscriptions
Intuit QuickBooks - CA,-242.18,Debit,Dues and Subscriptions
Spotify Subscription #2468,-116.38,Debit,Dues and Subscriptions
YouTube Premium #8344,-263.69,Debit,Dues and Subscriptions
Google Workspace #7218,-435.83,Debit,Dues and Subscriptions
Spotify Subscription (9/13/2025),-446.39,Debit,Dues and Subscriptions
YouTube Premium #2266,-465.57,Debit,Dues and Subscriptions
Amazon Prime Online,-282.72,Debit,Dues and Subscriptions
Amazon Prime - TX,-257.32,Debit,Dues and Subscriptions
Google Workspace Online,-86.12,Debit,Dues and Subscriptions
Amazon Prime (7/14/2025),-126.28,Debit,Dues and Subscriptions
Spotify Subscription,-190.67,Debit,Dues and Subscriptions
Google Workspace #3533,-161.77,Debit,Dues and Subscriptions
Spotify Subscription (11/22/2025),-242.41,Debit,Dues and Subscriptions
Spotify Subscription,-468.34,Debit,Dues and Subscriptions
Intuit QuickBooks - NY,-35.19,Debit,Dues and Subscriptions
Amazon Prime - TX,-101.51,Debit,Dues and Subscriptions
Google Workspace #1534,-424.58,Debit,Dues and Subscriptions
Spotify Subscription #9739,-22.37,Debit,Dues and Subscriptions
Amazon Prime,-201.89,Debit,Dues and Subscriptions
Spotify Subscription,-248.44,Debit,Dues and Subscriptions
Dropbox Plan,-99.48,Debit,Dues and Subscriptions
YouTube Premium,-289.28,Debit,Dues and Subscriptions
Google Workspace - CA,-193.01,Debit,Dues and Subscriptions
Adobe Creative Cloud - CA,-268.61,Debit,Dues and Subscriptions
Amazon Prime #3139,-252.75,Debit,Dues and Subscriptions
Google Workspace - NY,-292.09,Debit,Dues and Subscriptions
Intuit QuickBooks (2/25/2025),-444.61,Debit,Dues and Subscriptions
Spotify Subscription - NY,-156.34,Debit,Dues and Subscriptions
Intuit QuickBooks #1879,-39.45,Debit,Dues and Subscriptions
Netflix Monthly Fee - NY,-35.17,Debit,Dues and Subscriptions
Google Workspace - NY,-253.2,Debit,Dues and Subscriptions
Spotify Subscription #8181,-287.13,Debit,Dues and Subscriptions
Netflix Monthly Fee #9469,-371.17,Debit,Dues and Subscriptions
Adobe Creative Cloud,-262.21,Debit,Dues and Subscriptions
Adobe Creative Cloud #3909,-183.3,Debit,Dues and Subscriptions
Intuit QuickBooks,-314.84,Debit,Dues and Subscriptions
Dropbox Plan Online,-67.2,Debit,Dues and Subscriptions
Intuit QuickBooks,-303.68,Debit,Dues and Subscriptions
Netflix Monthly Fee Online,-78.77,Debit,Dues and Subscriptions
YouTube Premium - NY,-271.19,Debit,Dues and Subscriptions
YouTube Premium #7222,-471.21,Debit,Dues and Subscriptions
Amazon Prime - CA,-393.97,Debit,Dues and Subscriptions
Adobe Creative Cloud #5458,-222.16,Debit,Dues and Subscriptions
Spotify Subscription #1346,-198.32,Debit,Dues and Subscriptions
Dropbox Plan,-283.8,Debit,Dues and Subscriptions
YouTube Premium - CA,-226.52,Debit,Dues and Subscriptions
Amazon Prime #8777,-494.74,Debit,Dues and Subscriptions
Google Workspace (11/13/2025),-460.47,Debit,Dues and Subscriptions
YouTube Premium,-89.52,Debit,Dues and Subscriptions
Netflix Monthly Fee,-268.78,Debit,Dues and Subscriptions
Intuit QuickBooks #2092,-426.09,Debit,Dues and Subscriptions
Google Workspace,-364.26,Debit,Dues and Subscriptions
Adobe Creative Cloud (3/9/2025),-465.72,Debit,Dues and Subscriptions
Intuit QuickBooks #5193,-386.17,Debit,Dues and Subscriptions
Dropbox Plan - CA,-288.65,Debit,Dues and Subscriptions
Dropbox Plan,-50.42,Debit,Dues and Subscriptions
Intuit QuickBooks In-store,-262.65,Debit,Dues and Subscriptions
Adobe Creative Cloud #8041,-121.76,Debit,Dues and Subscriptions
Google Workspace - NY,-247.12,Debit,Dues and Subscriptions
Google Workspace - CA,-195.6,Debit,Dues and Subscriptions
Google Workspace #9331,-65.04,Debit,Dues and Subscriptions
Intuit QuickBooks #4792,-130.54,Debit,Dues and Subscriptions
Netflix Monthly Fee,-363.05,Debit,Dues and Subscriptions
Amazon Prime In-store,-341.7,Debit,Dues and Subscriptions
Dropbox Plan,-253.53,Debit,Dues and Subscriptions
Netflix Monthly Fee,-408.6,Debit,Dues and Subscriptions
YouTube Premium (4/27/2025),-458.12,Debit,Dues and Subscriptions
Amazon Prime - NY,-471.92,Debit,Dues and Subscriptions
Spotify Subscription #6417,-282.92,Debit,Dues and Subscriptions
Dropbox Plan - NY,-299.61,Debit,Dues and Subscriptions
Intuit QuickBooks,-131.97,Debit,Dues and Subscriptions
Adobe Creative Cloud (5/9/2025),-398.59,Debit,Dues and Subscriptions
Amazon Prime #1978,-7.47,Debit,Dues and Subscriptions
YouTube Premium (1/2/2025),-443.76,Debit,Dues and Subscriptions
Dropbox Plan,-450.17,Debit,Dues and Subscriptions
Google Workspace - NY,-352.21,Debit,Dues and Subscriptions
Dropbox Plan,-281.1,Debit,Dues and Subscriptions
Adobe Creative Cloud Online,-119.67,Debit,Dues and Subscriptions
Amazon Prime,-323.69,Debit,Dues and Subscriptions
Spotify Subscription In-store,-91.26,Debit,Dues and Subscriptions
Netflix Monthly Fee Online,-131.33,Debit,Dues and Subscriptions
Dropbox Plan #5618,-94.5,Debit,Dues and Subscriptions
Netflix Monthly Fee (6/10/2025),-297.31,Debit,Dues and Subscriptions
Google Workspace,-462.45,Debit,Dues and Subscriptions
Adobe Creative Cloud (6/17/2025),-254.4,Debit,Dues and Subscriptions
Dropbox Plan #4847,-112.09,Debit,Dues and Subscriptions
Spotify Subscription (11/24/2025),-73.01,Debit,Dues and Subscriptions
Google Workspace #7743,-150.77,Debit,Dues and Subscriptions
Google Workspace (5/3/2025),-253.76,Debit,Dues and Subscriptions
Intuit QuickBooks,-413.52,Debit,Dues and Subscriptions
